mz_rt	BD01	BD02	BD03	BD04	BD05	BD06	BD07	BD08	BD09	BD10	BD11	BD12	BD13	BD14	BD15	BD16	BD17	BD18	BD19	BD20	BD21	BD22	BD23	BD24	BD25	BD26	BD27	BD28	BD29	BD30	CT01	CT02	CT03	CT04	CT05	CT06	CT07	CT08	CT09	CT10	CT11	CT12	CT13	CT14	CT15	CT16	CT17	CT18	CT19	CT20	CT21	CT22	CT23	CT24	CT25	CT26	CT27	CT28	CT29	CT30	SZ01	SZ02	SZ03	SZ04	SZ05	SZ06	SZ07	SZ08	SZ09	SZ10	SZ11	SZ12	SZ13	SZ14	SZ15	SZ16	SZ17	SZ18	SZ19	SZ20	SZ21	SZ22	SZ23	SZ24	SZ25	SZ26	SZ27	SZ28	SZ29	SZ30	QC_1_2	QC_2	QC_2_2	QC_2_3	QC_2_4	QC_3	QC_4	QC_4_2	QC_4_3	QC_5	QC_5_2	QC_5_3	QC_5_4
181.837549483811_1160.4864	6113917.13679	10191930.82303	13609240.83792	10819414.54064	6005149.86659	25765329.76008	9632736.55634	9322093.42870	9712111.95050	10754033.53821	8896217.08926	7057616.72317	11185357.61478	11613305.82897	6033604.29604	13486510.33356	15023536.42436	9621601.20933	24452800.42156	8713966.48217	7528237.19424	8766749.71050	11967457.59909	9332748.55167	12009661.73424	14003878.43545	8973641.66730	8913386.50622	9145550.96610	9750465.92584	8536415.44351	5003708.15501	11393560.14887	4432918.86317	7309185.99848	6513152.63794	9265614.60260	14179944.71412	6578398.53884	4913771.99810	11238771.22569	14618073.12710	8022453.95866	10789531.54529	6908814.76031	13525650.21056	10207799.39717	11079797.93137	13634999.02761	6100264.46334	9186553.51711	8699490.64255	14500091.19761	8538022.75791	7497316.36741	8663832.16587	12117232.64784	9721981.25534	9867115.82104	6452478.16316	7406800.05124	10522304.97266	7057438.17008	8657325.57473	15695475.53311	9484433.45940	12922701.62363	9746179.38544	8070803.28353	8614675.36061	23294262.41047	11674780.60003	11496024.52130	6054444.13109	5461280.49785	11178972.05846	11880821.36570	9551852.91469	15211059.79829	13671469.47928	6849791.89823	13891862.93145	10096870.76185	8366458.44425	7686837.90727	4464080.17280	8724286.17792	8483192.99315	11394555.99313	12649381.79931	23775218.13892	11283165.35695	4519271.36018	13641074.45449	7243921.26416	7219559.64733	5856870.91223	26922426.07077	25523108.86669	5648688.57388	9878271.67349	10356074.97175	11342950.61360
181.917551590907_20.188137	3769570.76002	3215299.57865	3019529.12592	3732437.88369	3345087.26181	3626690.67813	3989956.85866	3683619.03035	3482616.95018	3659192.23918	3676127.72491	3630407.53377	3047353.56621	3444446.73485	4031883.35967	3178367.53289	3374054.72835	3709922.12158	3371441.74457	3371045.69562	3861649.53753	3477828.55035	3511574.69167	3619091.30510	3132478.70167	3232114.53377	3765078.24819	3803755.45738	3470208.65795	3396636.63950	3457877.59521	4032949.46032	3547008.85504	3391946.76122	3687728.27811	2113880.19063	4097667.18364	3825656.63676	3541939.21122	3324452.79914	3606349.84843	3350247.48551	3434514.63958	3549760.68459	3237453.58985	3367870.49717	3452800.91617	2975214.07319	1237517.37898	3878677.59403	3454431.80917	3607396.19726	3482835.08614	3388853.54333	3737609.00667	3596019.97203	3017973.12489	3649672.11889	3627838.66366	3473579.10994	3988433.57582	3653895.49883	3471133.64538	3711293.94770	3769208.99372	3961603.50922	3448276.41699	3266033.10227	3783544.31683	3225403.43870	2814910.24271	3744754.35298	3597714.14515	3536165.67717	3245656.44533	3560607.87009	3420064.82016	3814897.11879	3471446.73214	3371306.90118	3703907.57734	3532432.90837	3452975.96515	3513376.65414	3300921.54622	3332145.29419	2730531.07702	3900861.99920	3936126.29004	2963408.66429	3412760.26997	2627204.77126	3377946.47334	3526305.96534	4057034.05970	3322710.37520	2683890.52472	3258192.52533	3018279.60181	2850352.47711	3737697.61395	3610651.92164	3625536.29310
186.113855520252_43.5673485	755343.09006	2965446.38368	2520566.75446	2270033.93969	1632120.47008	13354007.84743	1536436.59696	1848812.64094	9034039.03989	1220328.40453	1096963.90783	1749110.27578	1094309.95909	1046161.67709	1721187.77220	2582299.13072	2523309.49147	1990364.89802	950064.94246	1333571.40173	2057562.22240	1812651.54925	453235.13876	6707569.28691	1851751.86587	2368690.48040	1069486.51557	6225001.32371	663941.76601	3730735.02114	7647669.10524	2417715.86439	7248805.90338	4822383.76293	1118692.61433	372655.31317	2803355.04265	3583748.24008	1504753.77912	1810638.73122	1461709.31656	3296694.63623	3594201.94141	2335088.03897	2565809.77810	1917559.28806	1428460.05546	767390.81356	1212620.93926	1902216.09342	957761.43714	3095383.07924	563482.17449	7471089.75098	7178273.84731	1563880.40238	840910.59603	964804.36416	1708173.23322	1303912.29488	1992724.63840	2450324.27891	2214004.86837	7069205.42028	2812170.42358	2118252.19774	1743484.22792	933377.04124	11081091.92428	2577852.77907	1169154.67047	4554356.39304	1320961.27184	4259595.81735	962348.01032	1179662.33675	1788415.42715	2257891.14873	1738114.88757	2832552.16990	6550114.39123	2419053.49754	1677435.08718	18788188.89046	1742206.12001	2581260.21056	1718991.97485	32825124.09961	3719973.60218	3397819.79403	904229.28787	3059303.17929	2658817.06962	2613576.94091	2655176.29021	48442238.56023	3773458.03524	3126351.65534	3110154.27215	4326636.69094	3994163.65115	3813311.60583	3918901.85991
186.929653291726_1217.93064	2273215.69437	1945143.32557	2248388.97975	2371874.07021	2009434.06526	2325922.62984	2223207.51732	2136658.19537	1995322.60203	2035740.95288	2286485.66339	2245450.44971	2077918.62845	2519034.82400	2411509.81900	1952921.09489	2315858.11484	2242548.17555	2089669.85478	2229079.16144	2215112.55236	2139112.54978	2187283.44745	2245419.88944	1784807.42889	2060981.68697	2057032.72221	2590177.52105	2099166.20992	2123636.61038	2273671.50674	2193230.56918	2322099.10062	2217632.15084	2406965.55038	2845007.86237	2390773.78907	2192383.05659	2160357.47883	1965090.35453	2488671.58890	2086278.84881	2263199.19182	2255945.65971	2195501.93142	2033475.45035	2148788.00550	1980019.76732	3265961.52515	2030520.00801	2339669.26862	2387077.27630	2469722.71703	2113814.76355	2232436.03759	2231143.97415	1965091.32288	2225409.17521	2261989.86295	2111657.42053	2746155.06715	2299327.02256	2316641.15528	2219645.51599	2186233.49227	2353066.24326	2139101.75724	2055632.92524	2314976.04513	2002703.88703	2007772.49931	2234545.83051	2228322.50216	2035659.82985	2178335.02888	2364506.65304	2315988.54627	2178450.65143	2263548.39282	2003207.49824	2414016.73738	2210938.50755	1935116.69689	2139201.09757	2176374.43677	1869898.21811	2347864.31441	2227185.67672	2432578.78164	2147049.67457	2135260.95008	2378676.86836	2330428.54037	2100134.34450	2302966.37065	2240248.37627	1911495.69104	1895195.64018	2100375.23837	1913699.93358	2105540.49656	2210126.39061	2272066.90064
187.007168310826_40.5777888	72724579.91479	52869321.02641	82146465.02101	46420665.42499	68331961.63168	41423440.62881	22809693.50917	131870005.89842	76977221.13923	55990361.36104	42621198.12228	183197361.68120	693943.29844	9548368.60144	3087451.90766	3600603.80370	24399913.88841	20102252.92285	46657112.57232	67774835.88259	11960319.00747	14599914.08946	8545890.26942	73025217.63015	21955383.31864	79495277.44757	38801086.21702	53712330.24011	44124185.63049	37810657.15487	67868897.44122	25413834.86477	65301524.76422	31808774.53244	21705481.58289	69205155.20330	27255204.66534	12738774.74167	77580530.14242	1071614.25209	59448518.77790	13582770.69306	4889072.67394	73715355.31761	72857901.75966	67948579.84020	87323053.01935	40120178.42301	39215558.50571	36947646.79628	20148068.57544	1485999.15096	34082466.06418	44431593.83062	48072324.87733	55828418.98887	75870446.17649	82208647.46564	32128241.33312	72361922.01583	137755254.52490	23117157.93157	153346229.42136	97156181.22436	57824497.15714	8937439.17706	64660483.06335	38850453.85954	12241592.06570	19193688.04856	47488452.81610	79992408.84241	42191925.56587	59597662.95223	85121032.31769	158024174.05488	84463058.30932	25367262.00459	27748705.49629	153187201.62135	40299552.24656	68765266.89907	135948470.25591	42679986.09637	267780410.42385	21458187.11719	22723682.97452	59718427.63851	63637841.12568	17370434.10380	44545830.76193	30575474.34223	31607225.57122	32016918.84609	26074726.27589	43211845.34789	28752910.16728	26655703.16204	27721431.94978	43287250.84839	47163141.33724	46324731.25468	47029034.78606
190.928588933391_17.28525	14667115.19044	14810176.08421	17767398.27562	15249174.14094	22544997.17313	17237066.66510	13992072.02612	13865819.55426	13912073.16248	14369469.92909	13861666.38966	14067391.63264	13027248.50420	16896883.26503	14400152.95308	18242254.43497	16503435.46973	15796496.67653	14563512.30986	14499354.67870	14037608.89289	13131197.40941	15676368.70609	15703369.20270	14351325.70886	14292071.61562	14843714.75373	14809993.70786	14769728.00012	15061816.76961	14393181.85685	23256583.77841	17770923.59174	18537903.99455	15471185.48501	38314812.96056	15204987.82922	15209797.36556	13336602.37258	20704072.99362	16603996.46372	13703392.09290	15153697.62575	14636228.33406	13577696.98138	16978064.93582	15073145.11047	15763867.07678	156135255.33605	14733604.92628	14026284.29320	14131490.20808	15032710.75600	14198754.59063	13623246.22197	15433749.16989	15017125.99673	15876275.67416	14792134.05624	13501401.48797	14405454.97615	18445491.31510	14233794.86604	15106956.83908	15241360.92684	16701548.36938	16450801.49549	15226460.42320	14000534.01446	14492999.18530	14928138.08462	15577622.94122	15671716.73777	14208570.88968	14439891.87677	13445681.60095	16334222.72764	14138213.63483	17268643.84063	19991482.87233	13557468.98884	19059900.58627	14597534.85291	13593857.51247	14848420.83285	17479094.14683	17533992.16173	14994428.54317	15071411.21389	15281447.73994	15276295.74608	36289255.89613	19315418.57299	17107181.00828	15639487.51656	25867777.74998	22509122.95783	17001555.97278	14074900.96296	20127991.49916	14834571.51818	15861290.64687	15388199.94243
192.929061134904_16.0211589	2034197.77710	2727231.89049	3663494.68457	2916164.81600	6404930.23105	3818246.93016	2070656.98771	2266153.15898	2235420.22481	2288255.21969	2460354.20151	2385363.81140	2726906.11913	2815931.43166	1938013.75066	4416957.80378	3470712.07452	2326977.07102	2969753.05737	2080502.77074	2119898.62286	2023215.62584	2697396.07362	2433051.96923	3656994.02498	3051607.16291	2248338.96200	2173615.14457	2443598.89152	2956946.35932	2294782.45728	6430906.62254	3591408.34047	4420058.32778	2290336.87365	2807136.94325	2297571.22359	2905658.34430	1958667.40337	4748056.53452	3773813.52162	3122290.92909	2276174.74285	2576596.51216	1895529.64036	4277360.16133	2330452.57121	3436907.62980	10840660.39601	2014702.15080	1988267.70662	2130916.65537	3336914.79131	2511437.73770	2166024.13808	2381889.35265	3423873.18216	2599612.17994	2150194.86605	1954276.28901	2122794.60249	3873357.90550	2208337.33380	2295452.34162	3058866.19233	3154793.77514	2884689.88192	2491330.31061	2278600.07981	2430677.41940	3351428.55633	2834329.46874	2525782.34915	1879427.46856	2098174.58164	2159803.85468	3394894.15528	2378173.63839	3003064.01253	5101732.86796	1972596.21842	5362939.67594	2681482.90089	2202011.12100	2297806.46054	4728306.87978	2335396.74304	2049006.57137	2915570.18643	2841285.69859	3082442.22758	9391893.89419	4227223.59953	2955110.72833	2383187.81276	7340784.54604	6420170.79084	3693455.08375	2938914.77535	5944357.53679	2850435.88458	2700107.17394	2478044.19704
194.082488299374_1166.1546	6207760.97057	5100468.53577	5462239.83299	6013745.21373	6931608.51318	6330642.81430	8611912.22805	5699747.62534	5856768.26571	5354332.69640	7897874.64566	6702303.67447	5606647.92676	6803942.55164	6097322.76727	6530774.87797	5402906.46732	5125310.46141	6003642.69557	10923568.01137	10624649.16778	6056340.43041	6137529.84637	6521357.30995	5315977.05188	7920561.21653	6156962.54716	7503667.98882	6074054.38619	6390245.30693	6083747.12613	13049811.75735	5973493.13676	10682471.84273	5983849.10311	6245801.89774	5946582.86856	11983744.43497	5756389.95213	9554725.19300	10144924.96614	8228541.34831	10957458.80359	7770343.61200	6534080.02781	5418510.06351	6583383.82130	6415376.70600	7488611.01577	5065115.12966	8302649.73469	5525856.60340	10268521.78177	6566429.69568	4892594.98663	8455188.63711	6392416.29118	5965085.73346	5386483.94683	5401383.59563	6032549.70489	11828941.39359	6453506.03845	6875457.58431	7022513.32206	7873068.06720	6749934.17391	11508651.13658	8775296.47411	9353840.66817	5919510.00062	5845093.56913	5638395.53418	7343755.88515	6377051.64887	9528433.57893	7151881.23543	5133135.00600	6115616.31182	11682539.85658	5736508.29850	11829812.16057	6251374.17671	6022973.29798	5206748.66350	8077478.56200	5582867.32488	6520475.41515	9701337.34087	5456412.20477	5289031.18227	12169857.06510	11715471.69557	6432607.68821	6074221.00382	6828927.06902	5953462.11379	9268066.30728	9659695.86036	6064233.79038	6720473.20031	9554670.15627	6552424.10494
195.003667170753_39.491112	7099751.22832	3935694.72343	3587430.84914	7557166.38976	2450298.60451	3307398.63634	8546552.78450	7606013.65502	2190819.66642	5095072.10023	8208768.76379	6513051.26095	2127456.02056	5285246.43240	8414624.04243	15748731.45811	1879185.84175	7350082.73432	4327544.33608	9596869.96906	2446884.82710	7870092.64809	1151297.76422	3991891.03196	5833265.28851	4741094.23448	6279124.30183	3847020.90289	4861230.47414	6300247.67466	3759930.70651	1782906.27718	6384099.00079	1325364.20233	5677602.14208	3103497.10631	9744288.36789	5440581.96337	9336752.24811	6901832.38619	2558814.57608	1459743.38359	9391939.81566	959334.87569	9259585.47111	5015887.65292	7613654.89420	6090253.17289	8201097.20174	6620931.49789	8117263.45944	4434893.24461	4535815.29732	1070241.74891	5530403.90235	7067861.90284	4873286.91462	8064673.09941	13233538.26423	3604346.68806	4712589.03926	4498182.31907	2063597.96063	5598254.37608	7406788.72559	2045631.91001	5225256.20762	6350750.81391	11853518.53569	7518486.51403	7907376.07546	2317662.54401	8889642.97479	8162810.02452	5846484.38747	5966179.55818	3354122.40814	10625438.23838	10492400.87311	3464434.70525	7350440.31219	545723.04747	10050278.20279	3917619.63648	9273278.64126	5346539.63778	7123629.64047	2037778.32332	2828058.95955	4128002.56267	8145584.61798	5999799.19300	4463522.92125	4612774.01563	9390410.20356	5976363.43569	10912990.81728	9279683.66374	10628219.51656	4670877.59146	5200549.59048	5135887.73079	4766549.80841
195.811139933237_1159.19187	22319477.81063	42581027.65168	73712681.10967	42424025.40245	233345457.91902	81636799.65929	30791367.14584	31884204.19719	30658521.44445	30210777.90286	33060828.47306	32597599.96997	54056321.18830	30703103.88975	21966525.14700	113487955.10454	67525260.51461	34376959.91864	61978815.02354	32922562.14314	32033597.29444	26190364.50456	34343418.79227	31752596.81628	86193791.66176	72297223.62124	26118914.01079	33597614.81393	29116136.82565	39288000.71480	32158733.93676	140474557.04954	71688838.63230	113517793.75054	30174792.96935	22245289.77428	33500576.32862	70115409.18704	24478446.39178	113099264.10745	67417143.85504	65917644.00702	30733019.58338	32360257.49019	26636982.54759	110172557.45537	34664884.74599	62710062.16314	225473859.54204	25980802.89205	28692133.34918	31677619.15103	81066125.35757	33282588.26746	29439009.50939	30261552.42128	67290766.61237	28487720.81297	36668879.37847	27170181.93422	26457407.29426	66121869.67619	22987151.50146	30954299.11622	69815850.09016	37649931.54596	37691071.95413	30146744.26424	26787775.59743	33580890.88129	71251367.28905	34132523.67142	32683942.31836	22962481.87675	22708497.40661	32281901.28394	69885831.06387	32968719.46311	53191744.05378	117584940.48152	26016783.47453	192024542.81830	48973542.63461	27243281.31359	30301761.02658	108107010.88134	26118129.91144	31452663.61490	60236047.25921	57195722.81551	92632153.15834	107622374.57439	93021508.65225	59590082.90678	29200939.44549	253713709.19167	230593887.43498	77144659.66816	68142004.50119	153682540.22133	45353421.57607	31639294.15016	26318873.54560
196.996406298147_39.4910775	113831773.30849	66760579.86838	60428694.44567	132696342.60978	44917073.72521	60258418.31822	151534694.67307	138570601.71287	42485665.61204	91913315.40200	136901497.71458	111544977.72779	41899075.07874	90940940.53601	153193487.98301	264243918.71420	33043966.21409	136689566.00877	71637961.52560	170743438.37631	41954227.71595	128518690.77515	24685163.50535	70048453.40476	101802980.55189	81806117.93151	109214884.92065	68276298.97893	86888274.04199	112140537.32069	65361185.11277	32938147.85312	113225735.43371	17562616.33019	93865755.69079	52499777.40864	164620788.95417	93873446.48181	159169779.57013	115630224.66817	45324367.63471	28841076.07084	166129885.52162	19607650.25489	159639699.87746	91812144.73846	125126118.12432	101072898.49480	135087242.76534	120777105.55156	148752767.09160	77858229.75973	84759819.61556	24169370.04627	94136068.03634	119745817.21594	83092275.52512	145481227.85824	231692258.01235	57936151.76132	87602021.20599	76310323.43413	34865369.33447	90163909.34057	129705014.87118	40014579.19163	93204813.21513	112304431.42129	197128563.06496	131536714.00457	131336304.88165	44157552.83667	147342080.90309	136803257.87799	108405741.61548	115207200.10310	59665030.20973	182520232.33315	183942606.75563	54222725.33029	129482292.89440	10172145.87330	173488475.55817	69251733.30327	160970714.49548	97965961.68519	121682223.83227	37138933.60767	48245118.95149	72414419.92376	135664390.90458	105668120.64535	81934273.84218	85093492.70142	158884883.88354	107178198.28479	178823213.62660	172619846.49667	175295330.51162	78562551.25352	90071813.57299	91695922.22711	90485024.87849
197.808223159454_38.602608	84331995.26865	138679331.08505	106619356.86004	166270005.67303	259233036.81839	82149942.45831	120505852.32415	133313556.48354	125446809.21257	193716435.17836	87290362.83484	48131662.84647	113451476.20503	155300009.75248	52950116.16170	123651444.99105	173097967.52291	143335488.55646	148984756.93265	93227140.12591	56886850.73229	118709319.82543	151603623.86567	98366071.37498	117990543.78970	118478274.14949	56337094.94461	124474124.16546	158424006.94896	174178677.91675	128262879.66582	214707460.90520	101474357.89414	155582751.08968	84569369.45954	119851144.47078	59914958.22292	66118290.98072	173341148.36301	161877376.07519	140086658.23773	152404520.89822	109896141.64674	183023978.57693	56330843.03835	157736425.77145	114983901.46325	110854576.98395	99818364.39895	56451617.68211	88272274.12761	100458361.88028	125849465.75500	176765163.20813	68247082.69022	74975857.90925	136708470.03584	182726511.13750	111985934.03936	183938534.04857	233790890.31197	48242266.61197	125265870.49037	53552684.55550	102997062.79075	80518931.25103	200359707.31250	105763818.84331	63832916.13138	56088987.07258	104726843.29497	179287906.74898	96220933.54910	130483888.54760	152532370.55340	172930002.73267	132986159.40443	55921295.69385	96353620.78161	151086512.01639	54929622.68658	86879804.46873	77339420.72904	122964198.90631	109510287.84213	218491780.58852	103602519.20493	96477700.90802	48999704.13565	138486593.19477	83377872.49136	246787514.12924	138806077.85262	125121115.16477	55218874.76431	87972314.31601	224965720.04528	128840946.11437	126255893.92570	233739456.70449	139621164.78784	150914762.39298	135561077.35876
197.80818394954_1159.26	27665126.71587	51630097.83592	91976024.86395	52343027.44872	283808738.67411	142877614.92864	44834805.91008	41447507.86691	42201478.09115	36820928.04346	39889649.27018	41278809.33430	65837731.18937	44769403.68933	28283716.34237	149874658.12714	82114298.60707	41185826.85002	75213658.86089	41307545.25210	42462669.18956	33006645.92084	46025324.10524	38704897.72699	112538880.47454	91269807.20691	34384793.32331	44572457.33923	37579297.60307	48606842.55462	36822950.96040	184547032.38954	84507841.13822	144870626.60222	38275579.69473	28054873.73437	45476368.74620	84965369.72638	29963996.67430	152459965.47276	84561892.13481	88645237.83522	39173860.77330	41183205.14858	35985824.20203	143197804.38426	38327119.05753	82002065.93254	270607513.67714	31474486.52426	33846406.10152	34922879.44790	95307582.81357	39826404.60953	38682923.60810	40616149.03488	86758116.10555	36423738.22770	42869574.01912	33993318.24350	33524471.55762	105624785.98986	30190045.71775	39191206.86936	90633773.64679	47551665.43945	50064939.79960	41359128.67684	35545027.52156	42889830.68918	93052308.21168	44185783.08614	40618437.69758	29127064.66098	28353184.27535	43817416.52274	81002133.92225	43170619.73785	74986339.79598	151657308.23331	33034777.58992	184687842.36593	57944671.30529	36884816.37522	37907247.11914	136003611.99873	31889619.01628	40962354.28043	79009472.24048	70772959.34656	90165425.89641	266542676.33422	127004675.18990	75869478.76014	40637415.67781	344383940.99959	275002203.76901	103252014.20672	81894239.01966	255110449.86567	56139117.61378	41240788.02966	36069842.18833
197.902723159007_68.955462	1090084.03430	1232427.90419	2881724.16402	1470649.42290	4273233.78242	753153.89211	1688470.14745	1268926.72451	1388294.62874	4740305.27701	1011392.54517	1022307.98420	1003505.23081	4871977.95524	957918.89717	3333398.20017	4881178.31069	1536546.44786	1558485.34621	1001357.40433	905317.25032	1248130.52989	2130359.47710	1060714.82134	1031724.06766	1018051.16589	851017.60061	1207250.22056	1484943.79236	3805739.05038	1713947.15483	423116.93361	3820884.73468	5859970.96680	2917249.48349	6640011.87556	2787655.35652	4206511.00639	1647485.83166	3684708.23952	1404295.81994	1723693.41307	3244654.47415	1825067.53310	758371.21726	3461093.88888	1081653.52153	2620059.91800	8223021.97683	810280.91778	1061484.00967	1115039.74382	1272019.65739	4474385.07759	829049.28255	808499.31422	1565016.93425	2498634.72693	4379522.36121	1976788.36796	2278650.35089	862535.73663	1365401.94459	1155348.40848	1140549.13654	398048.63397	1922735.38666	1192335.32661	978122.92366	691388.21121	1305622.11946	3886826.16119	1021646.14743	1189861.18529	1803257.45568	1619688.70925	3317800.46735	900366.53887	1022069.27288	3759556.73185	1125139.68393	1301766.54374	929944.93038	1356354.94249	1150208.75774	4501110.55465	919378.40068	1282142.00286	1171846.19379	1659604.63014	953946.88685	5774167.50964	4381123.94422	4164947.83046	1181308.09146	4449455.42188	5383174.18136	1417928.42756	1105975.08790	2230961.81685	1690148.22826	1766273.74063	1789902.37818
199.805280429419_38.6123199	38853988.00802	62540239.33911	49857649.92422	81728778.26005	129479553.88047	36587909.10006	59629951.89462	62144479.48600	60504432.66199	97529411.14765	40514845.59571	22138447.42402	52354838.49319	73600600.68886	26110872.20116	57834239.35463	78027370.73597	71281120.10113	67907912.62157	46503467.94618	25832696.88025	54788965.71740	69029647.86140	46369453.33796	55357235.34287	54696273.75584	27831130.38017	60245120.94600	75094347.95191	83218474.73862	63880595.37613	101873827.65216	48608177.35351	76668436.79630	39750710.41593	59098433.09757	27393010.09742	32391450.38800	80621204.26075	76075486.95936	66320487.34181	73058802.90090	52117976.72383	89095626.14529	26580327.51790	77486540.56705	52469967.58173	53694375.21497	49644149.93350	27656340.38034	42089766.24671	50322718.36562	59542000.76422	83979583.59804	32660143.48143	34321648.23277	64608906.03092	92161297.15414	52387083.54278	88218576.55258	109753101.01318	22484526.10740	58767992.39209	24174216.11874	49208140.96315	37863025.92441	93847634.12371	50294597.03543	30151094.43434	26152318.36827	50858927.29258	88872348.57411	44959361.56137	59844171.00221	71911915.93910	85735023.32122	62049268.16381	27170110.86971	44939023.19803	68735937.28843	26105661.18785	40708889.82355	34982336.63793	59598675.22420	51274700.67076	106685491.47871	46371129.55060	46816811.77998	24102941.54079	65691001.96050	39444943.00483	122458129.20326	63610909.08305	60417068.37979	25647052.35574	39855328.61881	102824244.89852	61793505.91123	58655234.48933	108236599.84454	66972791.83253	74202942.15204	66086085.60865
199.805264418687_1159.25829	13136002.53543	25611836.65606	42975675.59965	25386000.33630	134689647.41918	48170860.12958	17514624.20413	18330161.74003	18174958.64345	17387785.23873	19641992.30905	19743414.79479	32138506.35177	19154696.22595	13523714.68408	67951697.05093	39906747.07659	20303871.59792	36578903.06427	20678895.79007	19606457.42705	15703165.33512	21093373.56729	19364199.21269	51228390.52341	45315429.08794	16558388.79284	21157199.21213	17007131.59820	23618498.90781	19247482.67281	90154186.64961	41058610.44908	96790267.53188	18262330.17777	12816982.40381	21196359.02622	41072247.99487	15191546.82923	68066492.25492	40183841.82925	53695511.66311	18828367.25550	20087054.40998	16374350.82259	62138760.22031	20140169.89585	40335373.53886	128526915.56566	15379629.98682	17323213.98626	17440596.09470	47948253.87798	17036494.65575	16920084.53883	17191266.78711	40921886.14284	17027404.90488	21346582.85639	15907236.17308	15910861.78440	51092199.35954	14284749.75358	19439943.80958	39748247.04476	22342604.47342	23023583.31619	18808470.43165	16604218.65418	19901974.70172	43802755.11083	20630135.50608	18965366.91249	14403233.98842	13557068.58086	19448337.34011	39616923.87421	20616848.03364	31191106.56442	69638044.49551	15973437.25934	80196789.18789	27933424.40457	16809839.10019	18139954.98633	67820846.00672	15157940.10887	18462878.04567	38013922.28465	34757291.13432	51342630.44776	128417742.24438	58105669.32153	34858927.44774	18398759.42188	149907483.40922	133810585.31863	48043928.42187	42645146.46495	84065427.49728	26719874.71783	18557714.18067	16341316.86707
201.802380893141_38.6375406	8149857.61088	13762194.06677	10748875.42777	17185781.31344	27324938.30962	7848371.03521	12892390.85994	12732027.25712	12735806.60265	21080733.09842	8478377.52460	4684245.47791	11008992.73458	15493443.76702	5666425.05065	12698768.82123	16583500.62014	14503153.69484	14736336.01936	9728597.23758	5482466.71334	10761950.20928	14744663.23596	9750491.94761	11429194.04499	11536757.39786	5891657.87372	12704776.24507	15932846.40103	16647876.73834	13781872.96566	21495435.31822	10183093.31739	16342913.08076	8287943.48205	13109586.18593	5827912.77342	6781307.31569	17140878.89389	15699889.80827	14400838.28458	15104521.08420	10811870.16673	18936081.39671	5549035.56075	16535767.76950	11038924.48640	10757004.01594	10304754.80641	5785433.10364	8762283.66949	10728465.21099	12311447.03302	18556734.84277	6789110.64747	7322587.87613	14041252.63415	19625520.59606	11214787.01657	18153990.94807	22495279.58403	4715144.36325	12654676.71187	5115302.85414	10284209.77500	8271937.14134	19257710.04438	10581053.67165	6184569.69891	5680882.91845	10810476.86643	18106151.65659	9257442.40104	12959448.95371	15413393.67391	18027309.33312	13173637.38667	5795329.62109	9611439.73889	14285696.91698	5346184.35904	8701227.98247	7633235.45861	12300874.18592	10733569.81299	23564494.03468	10114177.99750	9664148.91476	4976492.10735	13200706.81321	7976078.99726	26217179.07157	13818374.81487	13043633.29454	5258210.57398	8383541.82247	21941005.93338	12681935.77356	12964341.37315	22445222.82873	14544676.00184	15484279.45872	14534195.22936
201.802367409163_1159.30371	2802737.45798	5345137.40404	8921988.18019	5083852.14451	10125427.46380	8647724.65442	4211918.06364	3821771.84922	3558561.09273	3795004.87303	4067409.03316	4194879.87157	6862676.92999	4322784.73465	2873630.92019	13887155.12191	8280562.08566	4195286.78070	6466505.47984	4264229.72448	4267638.32935	3560977.82401	4886888.19179	4133702.22626	11000306.98394	6124674.65331	3301673.75794	3968380.59491	3677949.64309	5187947.58262	3757621.96160	21919057.98180	8471183.34704	13401830.68392	3524217.85559	2566959.62412	4543408.70092	8782567.89692	3162814.48439	21248565.83046	8237748.97549	8652254.62722	3875777.32217	4096728.10256	3393958.47893	12936325.44572	4543030.22520	7706064.44377	24123758.52444	3277256.26984	3376136.04264	3729340.95402	8876592.20469	3538292.14039	3868946.97388	4264287.10494	7649749.01973	3831930.60368	4592696.46180	3472273.91768	3451285.49809	7037452.65076	2900346.21196	3949563.03659	8175625.18282	5002479.74106	4586855.96067	4009043.09248	3510701.76444	4005480.70007	7126288.11806	4197327.37088	4509631.77425	2855142.96700	2675836.37050	3972166.61561	8351207.65053	4137562.93382	6747311.66427	14069584.07725	3085396.07435	15436171.26180	5545937.80022	3657532.56471	3514885.86665	13191667.34810	3023196.38257	3748145.06168	7417173.75360	6776445.24561	8260185.84946	25829728.87292	11791939.25096	7479184.60094	3581052.18456	31784109.52445	27478116.07414	8921651.13434	8674593.50902	17623515.88897	5949596.05225	4198429.46577	4088875.21756
